recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [g],acceleration y [g],acceleration z [g],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606989591847294,-6.5898895,0.42533875,2.2563934,-0.00537109,-0.6269531,0.80078125,0.4761874533630655,-39.910581427944734,65.26644960717138,0.79233503,-0.28951505,-0.18075104,0.50568295
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606989599317294,-7.3242188,0.061035156,2.9277802,-0.004882805,-0.6298828,0.7783203,0.4903549390489879,-39.96696293268088,65.29280378104245,0.79210067,-0.289925,-0.18096974,0.50573707
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606989606787294,-8.117676,0.12207031,3.3550262,-0.0078125,-0.64160156,0.7749023,0.5102080992787009,-40.0341611589053,65.32658826365336,0.79181534,-0.2904227,-0.18121615,0.50581
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606989614257294,-8.237839,-0.55122375,3.1719208,0.0092773475,-0.6435547,0.790039,0.5236854674174168,-40.09981602396344,65.35807999192438,0.79153377,-0.290885,-0.18149424,0.5058854
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606989624506294,-7.446289,-1.0375977,3.5991669,-0.004882805,-0.64990234,0.796875,0.5369024624175821,-40.160708686849205,65.39521721859393,0.79123855,-0.2913041,-0.18176757,0.5060079
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606989634755294,-6.772995,-2.3822784,3.9043427,-0.0029296875,-0.6591797,0.8037109,0.5398075891188563,-40.21507202162097,65.4342886991975,0.79093456,-0.29162937,-0.18208827,0.5061804
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606989645004294,-6.5898895,-2.1343231,3.7212372,0.01806641,-0.65234375,0.7846679,0.5308288235012444,-40.26352653344706,65.46734944723634,0.7906529,-0.29187077,-0.18244962,0.50635123
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606989655282294,-5.125046,-1.8939972,4.3315887,0.0126953125,-0.66064453,0.793457,0.5349613307292503,-40.298927192344046,65.51056046587902,0.79037786,-0.29206318,-0.18268807,0.5065789
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606989665561294,-3.293991,-1.7719269,4.087448,0.03125,-0.65527344,0.7749023,0.5367358244077008,-40.328456947126995,65.55064686134745,0.7901295,-0.2922103,-0.18290932,0.5068019
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606989675840294,-2.4414062,-1.5258789,4.2095184,0.030761719,-0.6425781,0.7783203,0.5337409581396715,-40.350655043096886,65.5862495279374,0.78991157,-0.29229292,-0.1831195,0.50701815
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606989687614294,-2.4414062,-0.24414062,3.8433075,0.033691406,-0.6323242,0.7695312,0.5417350859042259,-40.390894572856304,65.65597499800315,0.7895149,-0.29249355,-0.18342143,0.5074114
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606989699388294,-3.0498505,1.0356903,3.232956,0.028808597,-0.65283203,0.7685547,0.5555949600704095,-40.417343412700156,65.68313359957108,0.78935045,-0.29269326,-0.18351308,0.50751907
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606989711162294,-3.2348633,2.0141602,3.1108856,0.030761722,-0.6533203,0.7661133,0.570963501993542,-40.443309762466576,65.70369725415573,0.78921884,-0.29290685,-0.18357544,0.50757813
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606989718881294,-3.5381317,3.4770966,1.9512177,0.02587891,-0.65283203,0.7661133,0.5928311227471084,-40.467250924336774,65.71496716973004,0.78914386,-0.29315016,-0.18356033,0.50755984
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606989726602294,-3.780365,4.211426,1.1577606,0.007812504,-0.64453125,0.75927734,0.6249029144291075,-40.49983555733038,65.72155064050003,0.7890843,-0.29350552,-0.18350154,0.5074686
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606989734323294,-4.3945312,4.5166016,0.66947937,0.0078125,-0.6508789,0.7646484,0.6611166700026931,-40.53367882925299,65.72498511935716,0.78904206,-0.2938928,-0.1834118,0.50734264
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606989742044294,-5.7964325,4.81987,0.4863739,-0.0039062463,-0.6489258,0.7700195,0.6976297395379841,-40.582107199792326,65.72510700810858,0.7889783,-0.29438677,-0.18337657,0.50716835
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606989752252294,-6.652832,5.065918,0.120162964,0.0,-0.65234375,0.7480469,0.7391290835541025,-40.63661613172967,65.72522063517256,0.7889072,-0.29494444,-0.18333411,0.5069706
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606989762460294,-7.7495575,4.3964386,0.120162964,-0.007324215,-0.6538086,0.75537103,0.7763020755547617,-40.70271941278383,65.72560225244614,0.78879863,-0.2955619,-0.18337384,0.5067657
