recording id,saccade id,start timestamp [ns],end timestamp [ns],duration [ms],amplitude [px],amplitude [deg],mean velocity [px/s],peak velocity [px/s]
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1,1746606989996463294,1746606991542871294,1546.408,219.92377,13.6750145,3623.4856,18431.979
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,2,1746606991798126294,1746606992653894294,855.768,43.27915,2.6232295,4007.0054,18717.658
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,3,1746606992734025294,1746606993094404294,360.379,18.314512,1.1959205,2308.5623,18717.658
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,4,1746606993179405294,1746606993369659294,190.254,65.827805,3.9856224,1547.4373,18717.658
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,5,1746606993444670294,1746606993910171294,465.501,71.837,4.368625,1586.8599,18717.658
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,6,1746606993985172294,1746606994340555294,355.383,16.536743,1.0501834,1496.1678,18717.658
