recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1,1746606991542871294,1746606991798126294,255.255,932.36346,1170.0605,9.124627,-35.57834
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,2,1746606992653894294,1746606992734025294,80.131,964.9473,1149.1636,11.403171,-34.155224
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,3,1746606993094404294,1746606993179405294,85.001,976.76245,1128.8944,12.137485,-32.823704
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,4,1746606993369659294,1746606993444670294,75.011,1024.4205,1112.7238,15.455871,-31.650549
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,5,1746606993910171294,1746606993985172294,75.001,936.9367,1104.5303,9.147432,-31.352854
