recording id,blink id,start timestamp [ns],end timestamp [ns],duration [ms]
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1,1746606989986464294,1746606990136591294,150.127
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,2,1746606990416849294,1746606990672106294,255.257
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,3,1746606990907357294,1746606991277615294,370.258
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,4,1746606991948260294,1746606992188509294,240.249
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,5,1746606992193510294,1746606992488769294,295.259
