recording id,timestamp [ns],name,type
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606987689000000,recording.begin,recording
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606994331000000,recording.end,recording
